Sample,Grid,Loc,ID,Beaker,Beaker_mass,DM_sample_mass,Post_Dry_wbeaker,Post_Ash_wbeaker,DM,Ash,Fibre_bag_mass,Fiber_sample_mass,Fibre_bag_sample_mass,Post_NDF_wbag,NDF_AI,Post_ADF_wbag,ADF_AI,Post_ADL_wbag,ADL_AI,CP_sample_mass,"CP_Tray,Loc",CP_AI,C_AI,NDF_F,ADF_F,ADL_F,CP_F,C_F
S_1_H,JO,Q_2,P89,12,23.2194,2.4758,25.5134,23.3016,0.92656919,,0.5292,0.7404,1.2725,0.8827,0.477444625,0.7932,0.356564019,0.6559,0.171123717,0.0955,P1 E6,5.5916,63,51.52822151,38.48217957,18.46853088,6.034735519,67.99276373
S_1_L,JO,Q_2,P131,44,22.3337,2.6758,24.8234,22.4652,0.930450706,,0.5455,0.6384,1.1856,0.8272,0.441259398,0.7697,0.351190476,,,0.132,P3 A10,4.976,60.6,47.42426391,37.74412484,,5.347945857,65.12972647
S_1_M,JO,Q_2,P110,105,31.6498,3.8876,35.2771,31.8,0.933043523,,0.5202,0.5289,1.0508,0.7648,0.462469276,0.7048,0.349026281,0.6095,0.168840991,0.1493,P1 D5,4.9373,69.9,49.56567025,37.40728834,18.09572507,5.291607388,74.91611943
S_11_H,JO,B_2,P2,35,21.7333,2.3127,23.887,21.8695,0.931249189,,0.5792,0.7755,1.3547,0.9313,0.454029658,0.8414,0.338104449,0.7112,0.170212766,0.1196,P3 C2,6.1789,55.4,48.75490508,36.30654959,18.27789682,6.635066179,59.48998468
S_11_L,JO,B_2,P99,32,23.0978,2.3456,25.2451,23.223,0.915458731,,0.547,0.6917,1.241,0.8087,0.378343212,0.744,0.284805552,0.6486,0.146884487,0.1313,P3 B8,5.397,55.5,41.32826521,31.11069258,16.04490541,5.89540502,60.62534345
S_11_M,JO,B_2,P93,116,28.5063,2.5588,30.8706,28.5865,0.923987807,,0.5396,0.5348,1.0772,0.7759,0.44184742,0.7123,0.322924458,0.6238,0.157442034,0.1026,P1 B8,5.7761,63.4,47.81961584,34.94899558,17.03940607,6.251272969,68.61562407
S_13_H,JO,B_6,P75,2A,28.8635,2.033,30.719,28.9454,0.912690605,,0.5182,0.4304,0.9504,0.7105,0.44679368,0.6611,0.332016729,,,0.1196,P1 A5,5.3468,64.4,48.95346548,36.37779624,,5.858283158,70.56060361
S_13_L,JO,B_6,P123,7,21.9177,2.5427,24.2818,22.0487,0.929759704,,0.5803,0.4761,1.0565,0.7791,0.417559336,0.7292,0.312749422,0.6568,0.160680529,0.1085,P1 E8,4.7229,63.7,44.91045744,33.63766153,17.28194162,5.079699602,68.51232604
S_13_M,JO,B_6,P135,11A,28.8542,2.2168,30.9151,28.9607,0.929673403,,0.5432,0.5936,1.1381,0.8257,0.475909704,0.761,0.366913747,0.6623,0.200640162,0.1,P1 A2,4.6919,63.8,51.19106365,39.46695102,21.58179002,5.046826105,68.62625067
S_15_H,JO,B_10,P82,3,22.0107,3.4772,25.2473,22.1426,0.930806396,,0.5407,0.6132,1.1548,0.8384,0.485485975,0.7728,0.378506197,0.6659,0.204174821,0.0945,P2 B4,5.1578,64,52.1575676,40.66433134,21.93526189,5.541216758,68.75758512
S_15_L,JO,B_10,P106,13,23.2965,2.6324,25.729,23.4116,0.924061693,,0.517,0.5541,1.0711,0.7685,0.45388919,0.7101,0.348493052,0.6174,0.18119473,0.107,P2 A1,4.4151,64.2,49.11892715,37.71318025,19.60851008,4.777927745,69.47588078
S_15_M,JO,B_10,P118,169,28.868,2.359,31.0432,28.9429,0.92208563,,0.5513,0.656,1.2073,0.8275,0.421036585,0.7558,0.311737805,0.645,0.142835366,0.1375,P2 D7,5.1564,59.7,45.66133252,33.80790188,15.49046653,5.59210537,64.74452924
S_17_H,JO,B_14,P83,1,24.1633,2.717,26.6773,24.2637,0.925285241,,0.5627,0.7264,1.2896,0.8918,0.453056167,0.8186,0.352285242,0.6935,0.180066079,0.0949,P2 B5,5.0838,64.1,48.96394617,38.07315049,19.46060213,5.494305728,69.27593477
S_17_L,JO,B_14,P132,11,22.479,2.4685,24.7868,22.61,0.934899737,,0.5516,0.4897,1.043,0.7991,0.505411476,0.743,0.390851542,0.6591,0.219522156,0.1011,P1 E7,3.8866,63.9,54.06050046,41.80678702,23.48082343,4.157237239,68.34957535
S_17_M,JO,B_14,P87,110,28.8375,2.7217,31.3523,28.952,0.923981335,,0.5085,0.6389,1.1478,0.8194,0.486617624,0.7532,0.383002035,0.644,0.212083268,0.0979,P2 B3,4.9544,65,52.66530887,41.45127398,22.9531983,5.362013075,70.34774137
S_19_H,JO,B_18,P98,9,23.5817,2.4807,25.8889,23.6928,0.930060064,,0.5692,0.6823,1.2535,0.8822,0.458742489,0.8106,0.353803312,0.6917,0.179539792,0.1008,P2 B6,5.2738,63.5,49.32396375,38.04091006,19.30410722,5.670386468,68.27516037
S_19_L,JO,B_18,P113,148,29.0539,2.2448,31.1385,29.1745,0.928635068,,0.5326,0.5842,1.1174,0.8066,0.46901746,0.7415,0.35758302,0.6369,0.178534748,0.1094,P2 C9,5.0978,62.6,50.50611118,38.50630155,19.22550145,5.489562237,67.41076466
