grid,week,dateCap,Eartag,Weight,Sex,Hindfoot
Sulphur,2336,18-Feb-2022,26622,1400,1,130
Sulphur,2336,18-Feb-2022,26621,1350,2,136
Sulphur,2336,18-Feb-2022,26342,1392,1,145
Sulphur,2336,18-Feb-2022,26620,1290,2,130
Sulphur,2336,18-Feb-2022,26383,1092,1,141
Kloo,2339,10-Mar-2022,26349,1512,1,136
Kloo,2339,10-Mar-2022,26372,1510,2,130
Kloo,2339,10-Mar-2022,26381,1340,1,120
Kloo,2339,10-Mar-2022,26395,1310,1,130
Sulphur,2340,16-Mar-2022,26342,1362,1,141
Sulphur,2340,16-Mar-2022,26620,1312,2,140
Sulphur,2340,16-Mar-2022,26621,1420,2,135
Sulphur,2340,16-Mar-2022,26622,1380,1,130
Sulphur,2341,24-Mar-2022,26383,1262,1,137
Jo,2335,08-Feb-2022,26448,1449,2,135
Jo,2335,08-Feb-2022,26351,1350,2,133
Jo,2335,08-Feb-2022,26361,1194,2,122
Jo,2335,08-Feb-2022,26347,1540,2,135
Jo,2336,16-Feb-2022,26623,1364,1,0
Jo,2336,16-Feb-2022,26617,1333,1,135
Jo,2336,16-Feb-2022,26618,1271,1,130
Jo,2339,09-Mar-2022,26384,1263,1,129
Rolo,2339,09-Mar-2022,26619,1299,1,127
Rolo,2335,09-Feb-2022,30821,1266,2,125
Jo,2297,20-May-2021,26348,1560,2,129
Jo,2297,20-May-2021,26347,1480,2,134
Jo,2297,20-May-2021,26380,1380,1,135
Jo,2300,12-Jun-2021,26348,1480,2,0
Jo,2300,12-Jun-2021,26380,1200,1,128
Jo,2302,21-Jun-2021,26347,1670,2,0
Jo,2302,21-Jun-2021,26348,1720,2,0
Jo,2304,07-Jul-2021,30831,650,2,95
Jo,2304,07-Jul-2021,26347,0,2,0
Jo,2305,17-Jul-2021,30831,750,2,109
Jo,2305,17-Jul-2021,26350,1550,2,128
Jo,2308,04-Aug-2021,26347,1960,2,0
Chitty,2299,04-Jun-2021,26473,1160,1,124
Chitty,2299,04-Jun-2021,26474,1460,2,125
Chitty,2307,28-Jul-2021,25611,1700,2,133
Sulphur,2307,31-Jul-2021,26349,1350,1,0
Kloo,2297,19-May-2021,26349,1340,1,136
Kloo,2297,19-May-2021,26350,1680,2,0
Kloo,2298,27-May-2021,26350,1500,2,0
Kloo,2298,27-May-2021,26349,1230,1,135
Kloo,2301,18-Jun-2021,26349,1330,1,0
Kloo,2301,18-Jun-2021,26350,1750,2,0
Kloo,2306,23-Jul-2021,26372,1470,2,0
Kloo,2306,23-Jul-2021,26350,1640,2,0
Kloo,2306,23-Jul-2021,26389,450,1,0
Kloo,2306,23-Jul-2021,26388,350,2,79
Kloo,2306,23-Jul-2021,26387,450,2,83
Sulphur,2342,02-Apr-2022,26622,1362,1,137
Sulphur,2342,02-Apr-2022,26621,1312,2,143
Sulphur,2342,02-Apr-2022,26342,1370,1,140
Sulphur,2342,02-Apr-2022,26383,1220,1,120
Sulphur,2342,02-Apr-2022,26614,1120,1,120
Sulphur,2342,02-Apr-2022,26620,1290,2,135
Sulphur,2342,02-Apr-2022,26652,1442,2,140
Sulphur,2342,02-Apr-2022,26608,1300,2,129
Chitty,2343,03-Apr-2022,26376,1592,1,135
Chitty,2343,03-Apr-2022,26379,1292,1,140
Chitty,2343,03-Apr-2022,26377,1192,1,135
Chitty,2343,03-Apr-2022,26378,1292,2,133
Chitty,2343,03-Apr-2022,26609,1342,1,134
Chitty,2343,03-Apr-2022,26612,1400,1,130
Chitty,2343,03-Apr-2022,26654,1300,1,130
Chitty,2343,03-Apr-2022,26653,1292,2,130
Chitty,2343,03-Apr-2022,26602,1310,2,135
Silver,2343,08-Apr-2022,26603,1200,1,131
Silver,2343,08-Apr-2022,24581,1300,1,130
Chitty,2367,19-Sep-2022,26696,1160,2,132
Chitty,2367,19-Sep-2022,26695,870,2,110
Chitty,2367,19-Sep-2022,26694,790,1,0
Chitty,2367,19-Sep-2022,26655,832,2,116
Chitty,2367,19-Sep-2022,26604,900,2,110
Chitty,2367,19-Sep-2022,25611,1610,2,130
Chitty,2367,19-Sep-2022,26605,1330,1,140
Chitty,2367,19-Sep-2022,26656,960,1,120
Chitty,2367,19-Sep-2022,26657,1320,2,138
Chitty,2367,19-Sep-2022,26376,1600,1,134
Chitty,2367,19-Sep-2022,26775,1400,2,133
Chitty,2367,19-Sep-2022,26777,950,2,120
Chitty,2367,19-Sep-2022,26659,1570,2,142
Chitty,2367,19-Sep-2022,25660,900,2,115
Chitty,2367,19-Sep-2022,26779,1480,2,135
Chitty,2367,19-Sep-2022,26780,1120,1,129
Chitty,2367,19-Sep-2022,26781,1020,2,115
Sulphur,2367,20-Sep-2022,26658,880,2,120
