Grid,Loc,Species,BD,Low,Med,High
KL,6_3,willow,19,10,20,70
KL,6_3,willow,7,50,50,
KL,6_3,willow,37,,,100
KL,6_3,willow,17,,10,90
KL,6_3,willow,4,100,,
KL,6_3,willow,4,100,,
KL,6_3,willow,18,,,100
KL,6_3,willow,22,,10,90
KL,6_3,willow,4,100,,
KL,6_3,willow,19,100,,
KL,6_3,willow,16,,,100
KL,6_3,willow,16,50,50,
KL,6_3,willow,19,40,20,40
KL,6_3,willow,16,50,,50
KL,6_3,willow,5,100,,
KL,6_3,willow,15,,,100
KL,6_3,willow,14,,10,90
KL,6_3,willow,34,,,100
KL,6_3,willow,12,,100,
KL,6_3,willow,7,100,,
KL,6_3,willow,4,100,,
KL,6_3,willow,4,100,,
KL,6_3,spruce,6,,,100
KL,6_3,spruce,7,,,100
KL,6_3,spruce,6,,,100
KL,6_4,willow,18,,100,
KL,6_4,willow,21,,,100
KL,6_4,willow,12,,100,
KL,6_4,willow,10,,100,
KL,6_4,willow,13,,,100
KL,6_4,willow,7,100,,
KL,6_4,willow,12,10,80,10
KL,6_4,willow,9,,100,
KL,6_4,willow,7,100,,
KL,6_4,willow,14,,40,60
KL,6_4,willow,13,,100,
KL,6_4,willow,9,,100,
KL,6_4,willow,30,,,100
KL,6_4,willow,7,100,,
KL,6_4,willow,10,10,,90
KL,6_4,willow,9,,100,
KL,6_4,willow,5,100,,
KL,6_4,willow,27,100,,
KL,6_4,willow,9,,100,
KL,6_4,willow,19,,,100
KL,6_4,willow,11,,100,
KL,6_4,willow,7,,100,
KL,6_4,willow,7,,100,
KL,6_4,willow,6,100,,
KL,6_4,willow,5,100,,
KL,6_4,willow,27,,40,60
KL,6_4,willow,22,,20,80
KL,6_4,willow,18,,,100
KL,6_5,willow,31,,10,90
KL,6_5,willow,10,100,,
KL,6_5,willow,10,20,80,
KL,6_5,willow,5,100,,
KL,6_5,willow,7,,,100
KL,6_5,willow,5,,,100
KL,6_5,willow,8,,,100
KL,6_5,willow,5,100,,
